hs8,tariff_rate,effective_date,list_id
03022300,10%,2018-09-24,List 3
03022400,10%,2018-09-24,List 3
03022901,10%,2018-09-24,List 3
03023100,10%,2018-09-24,List 3
03023200,10%,2018-09-24,List 3
03023300,10%,2018-09-24,List 3
03023400,10%,2018-09-24,List 3
03023501,10%,2018-09-24,List 3
03023600,10%,2018-09-24,List 3
03023902,10%,2018-09-24,List 3
03024100,10%,2018-09-24,List 3
03024200,10%,2018-09-24,List 3
03024300,10%,2018-09-24,List 3
03024400,10%,2018-09-24,List 3
03024511,10%,2018-09-24,List 3
03024550,10%,2018-09-24,List 3
03024611,10%,2018-09-24,List 3
03024650,10%,2018-09-24,List 3
03024700,10%,2018-09-24,List 3
03024900,10%,2018-09-24,List 3
03025100,10%,2018-09-24,List 3
03025200,10%,2018-09-24,List 3
03025300,10%,2018-09-24,List 3
03025411,10%,2018-09-24,List 3
03025450,10%,2018-09-24,List 3
03025511,10%,2018-09-24,List 3
03025550,10%,2018-09-24,List 3
03025611,10%,2018-09-24,List 3
03025650,10%,2018-09-24,List 3
03025911,10%,2018-09-24,List 3
03025950,10%,2018-09-24,List 3
03027111,10%,2018-09-24,List 3
03027150,10%,2018-09-24,List 3
03027211,10%,2018-09-24,List 3
03027250,10%,2018-09-24,List 3
03027311,10%,2018-09-24,List 3
03027350,10%,2018-09-24,List 3
03027400,10%,2018-09-24,List 3
03027911,10%,2018-09-24,List 3
03027950,10%,2018-09-24,List 3
03028100,10%,2018-09-24,List 3
03028200,10%,2018-09-24,List 3
03028300,10%,2018-09-24,List 3
03028411,10%,2018-09-24,List 3
03028450,10%,2018-09-24,List 3
03028511,10%,2018-09-24,List 3
03028550,10%,2018-09-24,List 3
03028911,10%,2018-09-24,List 3
03028950,10%,2018-09-24,List 3
03029120,10%,2018-09-24,List 3
03029140,10%,2018-09-24,List 3
03029200,10%,2018-09-24,List 3
03029900,10%,2018-09-24,List 3
03031100,10%,2018-09-24,List 3
03031200,10%,2018-09-24,List 3
03031300,10%,2018-09-24,List 3
03031400,10%,2018-09-24,List 3
03031901,10%,2018-09-24,List 3
03032300,10%,2018-09-24,List 3
03032400,10%,2018-09-24,List 3
03032501,10%,2018-09-24,List 3
03032600,10%,2018-09-24,List 3
03032901,10%,2018-09-24,List 3
03033100,10%,2018-09-24,List 3
03033200,10%,2018-09-24,List 3
03033300,10%,2018-09-24,List 3
03033400,10%,2018-09-24,List 3
03033901,10%,2018-09-24,List 3
03034100,10%,2018-09-24,List 3
03034200,10%,2018-09-24,List 3
03034300,10%,2018-09-24,List 3
03034400,10%,2018-09-24,List 3
03034501,10%,2018-09-24,List 3
03034600,10%,2018-09-24,List 3
03034902,10%,2018-09-24,List 3
03035100,10%,2018-09-24,List 3
03035300,10%,2018-09-24,List 3
03035400,10%,2018-09-24,List 3
03035500,10%,2018-09-24,List 3
03035600,10%,2018-09-24,List 3
03035700,10%,2018-09-24,List 3
03035900,10%,2018-09-24,List 3
03036300,10%,2018-09-24,List 3
03036400,10%,2018-09-24,List 3
03036500,10%,2018-09-24,List 3
03036600,10%,2018-09-24,List 3
03036700,10%,2018-09-24,List 3
03036800,10%,2018-09-24,List 3
03038100,10%,2018-09-24,List 3
03038200,10%,2018-09-24,List 3
03038300,10%,2018-09-24,List 3
03038400,10%,2018-09-24,List 3
03038900,10%,2018-09-24,List 3
03039120,10%,2018-09-24,List 3
03039140,10%,2018-09-24,List 3
03039200,10%,2018-09-24,List 3
03039900,10%,2018-09-24,List 3
03043100,10%,2018-09-24,List 3
03043200,10%,2018-09-24,List 3
03043300,10%,2018-09-24,List 3
03043900,10%,2018-09-24,List 3
03044100,10%,2018-09-24,List 3
03044200,10%,2018-09-24,List 3
