hs8,list_id,tariff_rate,effective_date,naics6
08042080,List 3,10%,2018-09-24,111339
08043020,List 3,10%,2018-09-24,111339
08043040,List 3,10%,2018-09-24,111339
08043060,List 3,10%,2018-09-24,111339
08045040,List 3,10%,2018-09-24,111339
08045060,List 3,10%,2018-09-24,111339
08045080,List 3,10%,2018-09-24,311423
08051000,List 3,10%,2018-09-24,111310
08052100,List 3,10%,2018-09-24,111320
08052200,List 3,10%,2018-09-24,111320
08052900,List 3,10%,2018-09-24,111320
08062010,List 3,10%,2018-09-24,311423
08062020,List 3,10%,2018-09-24,311423
08062090,List 3,10%,2018-09-24,311423
08081000,List 3,10%,2018-09-24,111331
08083020,List 3,10%,2018-09-24,111339
08083040,List 3,10%,2018-09-24,111339
08084020,List 3,10%,2018-09-24,111339
08084040,List 3,10%,2018-09-24,111339
08092900,List 3,10%,2018-09-24,111339
08093020,List 3,10%,2018-09-24,111339
08093040,List 3,10%,2018-09-24,111339
08101020,List 3,10%,2018-09-24,111333
08101040,List 3,10%,2018-09-24,111333
08102010,List 3,10%,2018-09-24,111334
08103000,List 3,10%,2018-09-24,111334
08104000,List 3,10%,2018-09-24,111334
08107000,List 3,10%,2018-09-24,111334
08109027,List 3,10%,2018-09-24,111339
08109027,List 3,10%,2018-09-24,111334
08109046,List 3,10%,2018-09-24,111339
08111000,List 3,10%,2018-09-24,311411
08112020,List 3,10%,2018-09-24,311411
08112040,List 3,10%,2018-09-24,311411
08119010,List 3,10%,2018-09-24,311411
08119020,List 3,10%,2018-09-24,311411
08119022,List 3,10%,2018-09-24,311411
08119025,List 3,10%,2018-09-24,311411
08119030,List 3,10%,2018-09-24,311411
08119035,List 3,10%,2018-09-24,311411
08119040,List 3,10%,2018-09-24,311411
08119050,List 3,10%,2018-09-24,311411
08119052,List 3,10%,2018-09-24,311411
08119055,List 3,10%,2018-09-24,311411
08119080,List 3,10%,2018-09-24,311411
08129010,List 3,10%,2018-09-24,311421
08129020,List 3,10%,2018-09-24,311421
08129030,List 3,10%,2018-09-24,311421
08129040,List 3,10%,2018-09-24,311421
08129050,List 3,10%,2018-09-24,311421
08129090,List 3,10%,2018-09-24,311421
08131000,List 3,10%,2018-09-24,311423
08132010,List 3,10%,2018-09-24,311423
08132020,List 3,10%,2018-09-24,311423
08133000,List 3,10%,2018-09-24,311423
08134010,List 3,10%,2018-09-24,311423
08134015,List 3,10%,2018-09-24,311423
08134020,List 3,10%,2018-09-24,311423
08134030,List 3,10%,2018-09-24,311423
08134040,List 3,10%,2018-09-24,311423
08134080,List 3,10%,2018-09-24,311423
08134090,List 3,10%,2018-09-24,311423
08135000,List 3,10%,2018-09-24,311423
08135000,List 3,10%,2018-09-24,111335
08140010,List 3,10%,2018-09-24,311423
08140040,List 3,10%,2018-09-24,311423
08140080,List 3,10%,2018-09-24,311423
10011100,List 3,10%,2018-09-24,111140
10019900,List 3,10%,2018-09-24,111140
10031000,List 3,10%,2018-09-24,111199
10039020,List 3,10%,2018-09-24,111199
10039040,List 3,10%,2018-09-24,111199
10041000,List 3,10%,2018-09-24,111199
10049000,List 3,10%,2018-09-24,111199
10059020,List 3,10%,2018-09-24,111150
10059040,List 3,10%,2018-09-24,311999
10059040,List 3,10%,2018-09-24,111150
10062020,List 3,10%,2018-09-24,311212
10062040,List 3,10%,2018-09-24,311212
10063010,List 3,10%,2018-09-24,311212
10063090,List 3,10%,2018-09-24,311212
10064000,List 3,10%,2018-09-24,311212
10071000,List 3,10%,2018-09-24,111199
10079000,List 3,10%,2018-09-24,111199
10081000,List 3,10%,2018-09-24,111199
10082100,List 3,10%,2018-09-24,111199
10082900,List 3,10%,2018-09-24,111199
10083000,List 3,10%,2018-09-24,111199
10085000,List 3,10%,2018-09-24,111199
10089001,List 3,10%,2018-09-24,111199
11010000,List 3,10%,2018-09-24,311211
11022000,List 3,10%,2018-09-24,311211
11029020,List 3,10%,2018-09-24,311211
11029025,List 3,10%,2018-09-24,311212
11029027,List 3,10%,2018-09-24,311211
11029030,List 3,10%,2018-09-24,311211
