fips,year,firms,bds_emp,firm_birth_rate
13067,2015,14149.0,325871.0,
13069,2015,702.0,12496.0,
13071,2015,770.0,10804.0,
13073,2015,1883.0,29431.0,
13075,2015,245.0,2572.0,
13077,2015,1870.0,31235.0,
13079,2015,107.0,632.0,
13081,2015,425.0,6687.0,
13083,2015,190.0,3502.0,
13085,2015,448.0,4650.0,
13087,2015,515.0,6925.0,
13089,2015,12307.0,275096.0,
13091,2015,274.0,3112.0,
13093,2015,139.0,2195.0,
13095,2015,1795.0,36956.0,
13097,2015,1996.0,38796.0,
13099,2015,187.0,2545.0,
13101,2015,24.0,128.0,
13103,2015,620.0,7544.0,
13105,2015,387.0,4344.0,
13107,2015,341.0,5061.0,
13109,2015,195.0,3879.0,
13111,2015,536.0,5411.0,
13113,2015,2618.0,38141.0,
13115,2015,1523.0,33299.0,
13117,2015,4803.0,69256.0,
13119,2015,362.0,6176.0,
13121,2015,23673.0,736603.0,
13123,2015,476.0,5845.0,
13125,2015,24.0,220.0,
13127,2015,2056.0,30473.0,
13129,2015,875.0,18850.0,
13131,2015,368.0,4377.0,
13133,2015,401.0,4828.0,
13135,2015,16604.0,314748.0,
13137,2015,690.0,11154.0,
13139,2015,3475.0,72652.0,
13141,2015,61.0,628.0,
13143,2015,407.0,6237.0,
13145,2015,323.0,3190.0,
13147,2015,366.0,5517.0,
13149,2015,114.0,1348.0,
13151,2015,2686.0,47970.0,
13153,2015,1905.0,37436.0,
13155,2015,104.0,1578.0,
13157,2015,1001.0,18877.0,
13159,2015,135.0,1417.0,
13161,2015,209.0,3650.0,
13163,2015,255.0,3943.0,
13165,2015,94.0,960.0,
13167,2015,106.0,1013.0,
13169,2015,282.0,3410.0,
13171,2015,215.0,2700.0,
13173,2015,90.0,820.0,
13175,2015,885.0,15024.0,
13177,2015,325.0,3937.0,
13179,2015,670.0,12144.0,
13181,2015,119.0,810.0,
13183,2015,65.0,335.0,
13185,2015,2116.0,39961.0,
13187,2015,556.0,6849.0,
13189,2015,384.0,6487.0,
13191,2015,155.0,1599.0,
13193,2015,170.0,1757.0,
13195,2015,301.0,2133.0,
13197,2015,77.0,1316.0,
13199,2015,280.0,3603.0,
13201,2015,113.0,975.0,
13205,2015,318.0,5854.0,
13207,2015,434.0,5448.0,
13209,2015,97.0,1030.0,
13211,2015,407.0,5599.0,
13213,2015,334.0,8177.0,
13215,2015,3225.0,78688.0,
13217,2015,1167.0,18752.0,
13219,2015,913.0,10420.0,
13221,2015,159.0,1450.0,
13223,2015,1519.0,18981.0,
13225,2015,397.0,6252.0,
13227,2015,594.0,6709.0,
13229,2015,302.0,3120.0,
13231,2015,222.0,1605.0,
13233,2015,506.0,9073.0,
13235,2015,160.0,1996.0,
13237,2015,376.0,3918.0,
13239,2015,31.0,213.0,
13241,2015,422.0,3890.0,
13243,2015,117.0,1369.0,
13245,2015,3260.0,84081.0,
13247,2015,1619.0,32860.0,
13249,2015,61.0,657.0,
13251,2015,183.0,2141.0,
13253,2015,155.0,1389.0,
13255,2015,972.0,16848.0,
13257,2015,478.0,7117.0,
13259,2015,56.0,635.0,
13261,2015,540.0,8728.0,
13263,2015,56.0,472.0,
13265,2015,21.0,86.0,
13267,2015,250.0,3150.0,
13269,2015,99.0,922.0,
13271,2015,170.0,3257.0,
13273,2015,152.0,1748.0,
13275,2015,950.0,15610.0,
13277,2015,865.0,15527.0,
13279,2015,587.0,9332.0,
13281,2015,244.0,2905.0,
13283,2015,82.0,733.0,
13285,2015,1191.0,33445.0,
13287,2015,133.0,1319.0,
13289,2015,66.0,1606.0,
13291,2015,492.0,4510.0,
13293,2015,400.0,5498.0,
13295,2015,589.0,9734.0,
13297,2015,1353.0,15415.0,
13299,2015,735.0,11981.0,
13301,2015,62.0,748.0,
13303,2015,314.0,5483.0,
13305,2015,482.0,5990.0,
13307,2015,25.0,388.0,
13309,2015,58.0,868.0,
13311,2015,516.0,5648.0,
13313,2015,1775.0,46812.0,
13315,2015,78.0,563.0,
13317,2015,182.0,1980.0,
13319,2015,123.0,2003.0,
13321,2015,240.0,2569.0,
13999,2015,446.0,115399.0,
15001,2015,3128.0,53379.0,
15003,2015,15554.0,354491.0,
15005,2015,,,
15007,2015,1592.0,26882.0,
15009,2015,3512.0,61756.0,
15999,2015,146.0,27445.0,
