fips,tariff_exposure_share,tariff_exposure_weighted,emp_total_2017
06043,0.0,0.0,38601
06045,0.007842790973967072,0.0010519873225671352,249146
06047,0.011634069660342796,0.0014069079180927975,583029
06049,0.007176391683433937,0.0007475993347472221,14910
06051,0.0,0.0,52273
06053,0.013318386710628825,0.00151750088720623,1564679
06055,0.020451079464231706,0.00288411783382986,628182
06057,0.0005941381104769086,5.9413811047690856e-05,244051
06059,0.006941025503081816,0.0007938690022631398,13996779
06061,0.0007714927741638502,9.047032845764115e-05,1320816
06063,0.0011836433883466958,0.00011836433883466958,44777
06065,0.004179186747776432,0.0004922432616708699,6073909
06067,0.0010175176338318333,0.00011771102763688684,5572385
06069,0.0015941087286116527,0.0002221373764545419,115425
06071,0.005415222250152479,0.0006141132917112321,6158196
06073,0.0053787453569201955,0.0006422667222539424,12612049
06075,0.0007166302364241881,8.791513514706192e-05,5957047
06077,0.005942392195009752,0.0007464577615153066,2086870
06079,0.004980834724812698,0.0006586393954149659,982767
06081,0.0014917610593515082,0.00018309404986892013,3430174
06083,0.008380748875692599,0.0009665429507446946,1609880
06085,0.014094777635864414,0.0016517513785021967,9326504
06087,0.009525091594415924,0.0010622477692392163,824559
06089,0.002266240274927211,0.00023209783216465474,523775
06091,0.0,0.0,2729
06093,0.003712688534964666,0.00046873094051002494,94810
06095,0.0012247703555583328,0.0001462270764927449,1120210
06097,0.009322187865457104,0.0012505718060977604,1700781
06099,0.006317005982398352,0.000776465438619657,1554059
06101,0.008073540504471946,0.0010162268848281097,241282
06103,0.005950826095474433,0.0007053526534859197,122504
06105,0.0,0.0,16885
06107,0.00783169177172741,0.0010219633734036271,1250943
06109,0.0005511510577860686,5.818883283164455e-05,117935
06111,0.008950403505978534,0.0010083870732320505,2744569
06113,0.004369673246161961,0.000546449969856886,720420
06115,0.003619006292037318,0.0004178925521056646,115225
06999,0.0016358722605374386,0.00018911921296186818,3167729
08000,0.004421330161560429,0.0005163244768853724,23771353
08001,0.0023511130753235162,0.000271984267995452,1626889
08003,0.0030179300550328423,0.0003923309071542695,50697
08005,0.0007981101427171482,9.61995691509799e-05,2842966
08007,0.0,0.0,27138
08009,0.0,0.0,5080
08011,0.0023492560689115116,0.00023492560689115116,5108
08013,0.00554080242109699,0.0006292320074487535,1502129
08014,0.0036607093146261344,0.0004856204512752032,287376
08015,0.0,0.0,56570
08017,0.0,0.0,2746
08019,0.0,0.0,18001
08021,0.0,0.0,9191
08023,0.0,0.0,4010
08025,0.0,0.0,3374
08027,0.0,0.0,4143
08029,0.0021899900608143394,0.0002838952795995299,59361
08031,0.0023224745658205733,0.00027260040640979857,4184330
08033,0.0,0.0,1796
08035,0.0004868307416087419,5.4592321969708675e-05,1027051
08037,0.00041347942939838747,4.736096078566497e-05,246687
08039,0.0,0.0,26902
08041,0.0022431848655080685,0.0002535124359121667,2319470
08043,0.0,0.0,85599
08045,0.00030070129658321784,3.7678673361214336e-05,196208
08047,0.0,0.0,32636
08049,0.0014785517585524978,0.00014785517585524978,54107
08051,0.0,0.0,61360
08053,0.0,0.0,963
08055,0.0,0.0,9598
08057,0.0070842654735272185,0.0007084265473527219,2682
08059,0.0016740227723209531,0.00020099635701049018,1924705
08061,0.01990632318501171,0.002488290398126464,1708
08063,0.0033396946564885495,0.00039846621430590895,18864
08065,0.0,0.0,12108
08067,0.0007713691802950236,9.041789201572817e-05,199645
08069,0.004221050462518509,0.0005046984707951508,1252058
08071,0.0,0.0,32040
08073,0.0,0.0,11244
08075,0.0,0.0,52734
08077,0.0005460382350395826,6.446260189197751e-05,485314
08079,0.0,0.0,2606
08081,0.00023044129508007836,2.4964473633675157e-05,26037
08083,0.0,0.0,60041
08085,0.0,0.0,104537
08087,0.0005499354145617782,6.415913169887412e-05,78191
08089,0.0027903548488996525,0.00033327276649622344,37988
08091,0.0,0.0,12145
08093,0.0,0.0,15282
08095,0.0,0.0,8664
08097,0.0,0.0,123213
08099,0.008230744669528505,0.0012026820874871393,28187
08101,0.00041026146882573304,4.102614688257331e-05,446057
08103,0.0,0.0,16516
08105,0.0,0.0,27300
08107,8.881704576742368e-05,8.881704576742368e-06,112591
08109,0.0026671746999428463,0.0002667174699942846,10498
08111,0.0,0.0,1288
08113,0.0,0.0,34437
08115,0.0,0.0,3952
08117,0.0,0.0,166884
08119,0.0,0.0,48467
08121,0.005416908492938673,0.0006545431095634231,5169
08123,0.0027746757659015036,0.0003189986732151937,846225
08125,0.0034714096263359076,0.0003932964089762591,25638
08999,7.888301648655044e-06,1.1832452472982565e-06,126770
09000,0.005784696693131643,0.0008147981195287276,14690485
09001,0.0022674343179733265,0.0002667144529586783,3676843
09003,0.0057875900739318845,0.0010342679567843548,4357254
09005,0.007425057462964968,0.0008618685393463661,498582
09007,0.0026927030976537187,0.0003329332142142436,526237
09009,0.0033817762889349653,0.0004207880963606462,3199502
09011,0.0010381773587630264,0.00013130111662785953,914102
09013,0.00013279306891960277,1.3279306891960278e-05,278629
09015,0.001848705371931737,0.00020530781478750575,280737
09999,0.0,0.0,337251
10000,0.0033233422727033703,0.0004453535311793615,3898485
10001,0.0,0.0,367014
10003,0.00085302584117826,9.166691828951955e-05,2416105
10005,0.00048091138655419343,5.955354786043389e-05,588466
10999,0.00016665972251156202,1.6665972251156205e-05,48002
11000,0.0005100826086425021,7.012154261099696e-05,6871436
11001,0.0005284693447070591,7.264918475088339e-05,6632362
11999,0.0,0.0,0
12000,0.004550121017568383,0.0005427863784762969,77389590
12001,0.0025212997874670072,0.0003113522326400973,914211
12003,0.0,0.0,41215
12005,0.00034364095622110564,3.577382134427336e-05,622743
12007,0.0007823248536512989,7.823248536512989e-05,37069
12009,0.0033803566054594275,0.0004381859207929644,1714612
12011,0.002623170298662722,0.0003216214569930291,6865738
12013,0.0017618040873854828,0.00017618040873854828,14190
12015,0.0013082739487570037,0.00015006191178121634,367660
12017,0.0002624704720718919,3.612688810604045e-05,240027
12019,6.741182662715297e-05,9.704218833091791e-06,385689
12021,0.0025544840587950653,0.00030332141108191515,1192413
12023,0.0,0.0,167890
12027,0.005684188569044639,0.0007028875379939209,57528
12029,0.0,0.0,13459
12031,0.0018821156700761944,0.00021295274682543445,4254255
12033,0.0013355457143612221,0.00020058970397906416,1059492
12035,0.00029796507381938645,3.579214606245069e-05,171161
12037,0.0,0.0,20313
12039,0.0007525689968939425,0.00010935768236115101,73083
12041,0.0,0.0,20252
12043,0.00628698224852071,0.0007552045749747438,8112
12045,0.0,0.0,23429
12047,0.001779481212784888,0.0001779481212784888,14611
12049,0.011672312239746272,0.001496778551768716,46349
12051,0.00699217964341067,0.0009020649775237284,84523
12053,0.0004678275026432254,6.010911069997684e-05,320631
12055,0.00478764253565214,0.0006057596446829355,205738
12057,0.0032137932435329026,0.000361935258013958,5612371
12059,0.0,0.0,17731
12061,0.0008822006897205392,9.879099475328614e-05,411471
12063,0.0005852626366081779,5.852626366081779e-05,88849
12065,0.008301275561854626,0.0012056614506503146,14817
12067,0.0,0.0,6024
12069,0.0019081837691360477,0.00024670861564802805,760933
12071,0.001492094815885413,0.0001675679064058176,2158710
12073,0.00012700952030936276,1.7021144514381932e-05,1110153
12075,0.00386773002605124,0.0004438908968308511,62569
12077,0.0,0.0,8157
12079,0.002277244120569725,0.0002327600870164633,24152
12081,0.0025875947425424285,0.0003007167431849327,987017
12083,0.0023595620149527018,0.0002848571676759697,794639
12085,0.0021507601987054044,0.000269998290407735,531440
12086,0.003288986020642296,0.00040728465751381336,9639141
12087,0.0002848421974226279,2.889924405608107e-05,333518
12089,0.0009831290205121982,0.00010030573114685265,164780
12091,0.0001821367876652267,2.0686351569394085e-05,680807
12093,0.0008839165077721516,0.00010617777562872796,79193
12095,0.0015617557615505808,0.00018113952630822194,6987008
12097,0.00029882776123800865,3.893110561069831e-05,719478
12099,0.0025991223946089954,0.0003219968861476812,5104800
12101,0.0010962811356906462,0.00012724910151363627,918560
12103,0.004159415470373998,0.00048548779788164725,3635607
12105,0.0033040161937232236,0.00038568147476393706,1755742
12107,0.003324485911150433,0.00042534581476644267,111897
12109,0.0007365887598330162,9.47273428085621e-05,563408
12111,0.002886395913768922,0.0003139232488524292,565411
12113,0.0002497636165771681,2.7392933136158297e-05,280265
12115,0.0018406940731950814,0.00022493259284198954,1391323
12117,0.0014379197246320102,0.0001736435624018299,1571715
